
 Amplitude = (peak-valley)/2 

 
          Range            Cycle       Ave     Max     Ave     Min      Max
         (units)           Counts      Amp     Amp     Mean    Valley   Peak 
  1266.8122 to 1407.5691	   119.0	   703	 703.8	-0.1374	   -704	  703.7
  1126.0553 to 1266.8122	     0.0	     0	     0	     0	      0	      0
  985.2984 to 1126.0553	     0.0	     0	     0	     0	      0	      0
  844.5415 to 985.2984	     0.0	     0	     0	     0	      0	      0
  703.7845 to 844.5415	     0.0	     0	     0	     0	      0	      0
  563.0276 to 703.7845	     0.0	     0	     0	     0	      0	      0
  422.2707 to 563.0276	     0.0	     0	     0	     0	      0	      0
  281.5138 to 422.2707	     0.0	     0	     0	     0	      0	      0
  211.1354 to 281.5138	     0.0	     0	     0	     0	      0	      0
  140.7569 to 211.1354	     0.0	     0	     0	     0	      0	      0
   70.3785 to 140.7569	     0.0	     0	     0	     0	      0	      0
   35.1892 to  70.3785	     0.0	     0	     0	     0	      0	      0
    0.0000 to  35.1892	  1246.0	0.1366	 4.138	 18.52	   -704	  703.8
